1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,,
season,day,month,year,treatment,rep,visit,DVS,DVS Syngenta,WS,Vigor,LDG,Sample,Nt,Np,Nlt,DH,SN,RT,RB,SS,WH,PM,Thrip,LF,LM,RH,WM,Defo,BLB,BLS,BS,LB,LS,NBS,RS,DP,FSm,NB,ShB,ShR,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,1,20,,4,,,,,,,,0,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,2,11,,3,,,,,,,,0,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,3,24,,4,,,,,,,,0,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,4,14,,3,,,,,,,,0,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,5,22,,4,,,,,,,,0,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,6,14,,4,,,,,,,,1,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,7,11,,3,,,,,,,,0,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,8,22,,4,,,,,,,,0,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,9,13,,4,,,,,,,,1,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,20,AT,7,0,0,10,20,,4,,,,,,,,0,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,30,PI,7,0,0,1,21,,5,,,4,,,,,,2,0,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,1,30,PI,7,0,0,2,27,,5,,,0,,,,,,0,0,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,3,24,,5,,,0,,,,,,,0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,4,24,,5,,,0,,,,,,,0,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,5,23,,5,,,0,,,,,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,6,17,,5,,,4,,,,,,,0,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,7,21,,4,,,0,,,,,,,0,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,8,15,,5,,,0,,,,,,,0,,23,,,,,,,,,,,,,,,,,,DVS,Water Status Score,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,9,23,,5,,,0,,,,,,,2,,19,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,10,23,,4,,,0,,,,,,,,,30,,,,,,,,,,,,,,,,,,10,-1,-1,-1,-1,-1,-1,0,-1,0,1,1
