"","season","year","treatment","rep","mean.ykh"
"1","DS",2014,"FP",1,5847.45619720773
"2","DS",2014,"FP",2,6531.45703338807
"3","DS",2014,"FP",3,5478.40270344204
"4","DS",2014,"FP",4,5233.53028613898
"5","DS",2014,"GM",3,5257.50044093602
"6","DS",2014,"GM21",2,6651.22691793058
"7","DS",2014,"GM21",4,5875.00831843753
"8","DS",2014,"RP",3,4982.71154745208
"9","DS",2015,"GM",1,6292.59937783334
"10","DS",2015,"PR",1,2573.95833333333
"11","DS",2015,"PR",2,5474.50932868792
"12","DS",2015,"PR",3,12037.4275362319
"13","DS",2015,"PR",4,4061.8908045977
"14","DS",2015,"RP",1,5648.86912904697
"15","DS",2015,"RP",2,5305.03578732106
"16","DS",2015,"RP",4,5324.46490354232
